id,topics
76b0891843eb381c4c0e3e5974fd40f2,0.0
b205f71670059e39e436226fe728fbd6,0.0
15e2fa5f37ad8de40d13ec780cd2c9ce,1.0
2c9009e582b9fc8744ffcbdc2d329e58,0.0
f2e48d383b36b2eefa09e44ff9ea78e4,0.0
90d37cda87f4c0c1b984a3cbaf6b9db0,0.0
bb98b96a73827cde353726dd95f5c3ca,1.0
543f428f9c7655e24dcfdb0237406d8e,1.0
a70eaa3c11f1220ff8f7cc67a961c279,2.0
a9eee1294cb0af14b7cfae9095dbafb9,1.0
c17542f53731f31e730da1d6f06d5c04,0.0
38107c80721b2b1909591f9492c00a40,0.0
4d12d2b995aa2945691e238ac8566382,1.0
eb96d20c7e0db23b08a8a4c6298f5683,1.0
b354646fd813d6eaf083d8fc60cdd7c8,0.0
6c51208da4faa380518d4cc2a263bfb4,3.0
19f7a7942c98a49ffe114574c8ce4ece,0.0
d3048cac8a81248791e7c6703c50af4d,2.0
816894478535d2211e429f6a71f11a73,2.0
d8536ac7acdd33437ea0f3fc2a23e244,2.0
ee06ad7a00be7297a09ee60f291b677e,0.0
9bc868d442cb65e2f051d1f25ceed7c7,2.0
3d435b7583dde6f995f3df2f71ce6d36,2.0
767863e7e96c6c05a514f1804f5e39ca,0.0
cb5282e62a7dd3bb658e3396de3dae68,0.0
22e8a0444f3b3dd2578ba94c4b79e37a,1.0
190bcffc0034cf22d862bc51d3a0bb02,4.0
a3330300d17b6568cd341303473b7492,0.0
9a39a2fc49008ae8f756abff6f39a461,3.0
4a2e13869f29f52699b9964567d5f802,2.0
4953444c17a7d0c041ec76b846f8c7a7,4.0
ddee9d372873a6173ea39680f7e4be98,3.0
1bcbecdd1c56f9f9c7ee6f7676d865ca,0.0
4af67da43947f0040ae4e1f9e5b8f024,1.0
11adbe9bfa2a404169d53db6a5b02461,2.0
85f1c91a4345dcbc4de17fce6ad8bb99,1.0
61f0ab7b6ef7e1d705a22a00490b8521,2.0
b7026321e3870d74ddac1de738fb9c9e,0.0
81e58f6117da4772024d5c33bd16d4b7,0.0
709c09dabca5d39232db7aa0e9bd9ce2,0.0
1f3e7b2c5042a05f454ba0bff6540294,2.0
ff7608367c94e2ba1b83e1e67cc70723,0.0
ac3782a73d1880824cc1579e40c91974,0.0
36ab013ddac6a8abaf9009d1639b75d7,4.0
0a363deb4906d2cecd320120eab58fb2,3.0
4625e254ed92417ae8d81c3988778751,0.0
f5927c7c36c507631a54a915cee89833,0.0
4bfbdfd4578986f344113ee9ce5874fb,0.0
db9102189af3911431a94ca100e5d357,0.0
08964e3a9d359e94e30de3866fda51c4,0.0
fcd5fee53e3dda9a659dc821ccbd7410,0.0
30dccd1574774d283d1c11ea5852d512,1.0
4742b9d1ba7ddf11b3634df462c4e7b1,2.0
16f3ffccf96be4b53e278ddd76a5ec2f,1.0
3bbc56c6c12437957045fb768e8f828b,2.0
31ffee9b52474329a828d7b0385bd7c8,3.0
191e7c7e6e4d5764ed0f6dc3d9b715c0,0.0
daa41603050431e369c28fe51663ed8a,2.0
30934e6f6e766b81d76b5c1d84e17eff,4.0
497611f10b9535cfcb8a5a86dcb022c7,1.0
d1e25beef115eda8736f0bb677358694,0.0
020c8c53054c8257fddb9707e9ba8377,1.0
b80eac3fb31eaa2da58d76840ad5b4f3,1.0
79e9689e49349c181ad1c75518ec4c50,0.0
